Filename,Max,Min,Sum,Mean,StdDev
"y8_r1425_c0.ome.tif",0,35686,2.09926e+09,2002.01,4218.25
"y6_r715_c1.ome.tif",0,19,211135,0.201354,0.84253
"y8_r1451_c1.ome.tif",0,24436,1.13793e+09,1085.22,2286.18
"y2_r1629_c0.ome.tif",0,10,1.2733e+06,1.21431,2.24575
"y4_r1744_c0.ome.tif",0,8375,1.58311e+08,150.977,476.287
"y0_r379_c1.ome.tif",0,59,302643,0.288623,1.48127
"y6_r553_c1.ome.tif",0,18,150109,0.143155,0.61046
"y8_r1263_c0.ome.tif",0,33936,2.74063e+09,2613.67,5651.51
"y4_r1932_c1.ome.tif",0,65502,9.35474e+08,892.137,3821.31
"y1_r882_c1.ome.tif",0,19094,5.23365e+06,4.9912,140.262
"y1_r927_c1.ome.tif",0,43331,2.09747e+07,20.003,256.745
"y8_r1308_c0.ome.tif",0,46732,7.64503e+08,729.087,3113.4
"y4_r2194_c0.ome.tif",0,7010,6.97109e+07,66.4815,264.461
"y9_r2450_c0.ome.tif",0,65535,3.01969e+09,2879.8,7883.33
"y0_r40_c0.ome.tif",0,54,544693,0.51946,2.29574
"y8_r1334_c1.ome.tif",0,26009,9.80573e+08,935.147,2103.3
"y5_r456_c0.ome.tif",0,96,1.40427e+06,1.33921,5.47919
"y4_r1815_c1.ome.tif",0,65534,1.55467e+09,1482.65,5068.29
"y1_r1011_c0.ome.tif",0,52659,7.68796e+08,733.181,2785.7
"y0_r310_c0.ome.tif",0,38,456530,0.435381,2.28031
"y9_r2531_c0.ome.tif",0,65535,3.32322e+09,3169.27,8141.05
"y4_r2275_c0.ome.tif",0,10837,1.89042e+08,180.285,583.716
"y4_r1734_c1.ome.tif",0,3,8427,0.00803661,0.108505
"y2_r1619_c1.ome.tif",0,51,2.73825e+06,2.6114,6.11425
"y4_r1708_c0.ome.tif",0,12264,2.1244e+08,202.599,628.195
"y8_r1415_c1.ome.tif",0,15188,4.58609e+08,437.364,1100.19
"y1_r846_c1.ome.tif",0,25805,9.17342e+07,87.4845,576.202
"y6_r517_c1.ome.tif",0,7,14193,0.0135355,0.138234
"y4_r2067_c1.ome.tif",0,65529,1.18759e+09,1132.58,4075.95
"y1_r1197_c1.ome.tif",0,25046,5.0972e+08,486.107,1329.01
"y6_r482_c0.ome.tif",0,32,260309,0.24825,1.5069
"y4_r1861_c0.ome.tif",0,12698,7.60894e+07,72.5645,303.582
"y9_r2323_c1.ome.tif",0,64774,1.79571e+09,1712.52,5233.65
"y8_r1380_c0.ome.tif",0,31458,2.84162e+09,2709.98,5610.73
"y6_r670_c1.ome.tif",0,17,241592,0.2304,0.867456
"y0_r102_c1.ome.tif",0,31,1.7165e+06,1.63698,4.11108
"y4_r2229_c1.ome.tif",0,3,48451,0.0462065,0.297139
"y6_r644_c0.ome.tif",0,22,91657,0.0874109,0.54554
"y1_r973_c0.ome.tif",0,36938,4.09242e+08,390.284,1433.18
"y8_r1542_c0.ome.tif",0,43180,2.5459e+09,2427.96,5554.19
"y4_r1942_c0.ome.tif",0,8757,1.65558e+08,157.889,468.862
"y9_r2404_c1.ome.tif",0,45646,1.31844e+09,1257.37,3600.31
"y1_r892_c0.ome.tif",0,23560,4.57838e+08,436.628,1401.67
"y6_r563_c0.ome.tif",0,27,142282,0.135691,0.975713
"y4_r2148_c1.ome.tif",0,65391,6.04171e+08,576.182,2640.6
"y6_r751_c1.ome.tif",0,16,90977,0.0867624,0.43741
"y8_r1461_c0.ome.tif",0,35258,6.23063e+08,594.199,2493.12
"y6_r725_c0.ome.tif",0,42,747371,0.712749,2.80811
"y4_r1780_c0.ome.tif",0,8043,1.69913e+08,162.041,492.821
"y2_r1665_c0.ome.tif",0,54,2.32562e+06,2.21788,4.85385
"y8_r1316_c1.ome.tif",0,30139,5.03194e+08,479.883,1675.94
"y5_r438_c0.ome.tif",0,49,907345,0.865312,2.7116
"y0_r22_c0.ome.tif",0,31,786657,0.750215,2.14236
"y1_r1100_c1.ome.tif",0,22081,6.11998e+08,583.647,1631.73
"y0_r211_c0.ome.tif",0,36,560811,0.534831,2.01276
"y1_r909_c1.ome.tif",0,1261,1.57981e+06,1.50663,21.1092
"y4_r2176_c0.ome.tif",0,13430,1.23792e+08,118.057,541.858
"y5_r464_c1.ome.tif",0,10,99958,0.0953274,0.398259
"y9_r2432_c0.ome.tif",0,65535,2.62869e+09,2506.92,6595.06
"y0_r130_c0.ome.tif",0,37,1.34574e+06,1.28339,3.15341
"y1_r828_c1.ome.tif",0,60049,3.74405e+08,357.06,2031.55
"y4_r2283_c1.ome.tif",0,65531,8.99998e+08,858.305,4340.55
"y9_r2351_c0.ome.tif",0,63098,1.63985e+09,1563.88,5429.62
"y4_r2095_c0.ome.tif",0,8666,1.15221e+08,109.884,374.167
"y5_r383_c1.ome.tif",0,85,643150,0.613356,1.81519
"y4_r1716_c1.ome.tif",0,3,54193,0.0516825,0.301611
"y9_r2513_c0.ome.tif",0,65535,3.09025e+09,2947.09,8012.85
"y4_r2257_c0.ome.tif",0,8474,1.31502e+08,125.41,400.007
"y6_r490_c1.ome.tif",0,18,164567,0.156943,0.758914
"y4_r1681_c0.ome.tif",0,75,1.15775e+06,1.10412,4.62073
"y8_r1524_c0.ome.tif",0,26136,2.35059e+08,224.169,1221.53
"y6_r626_c0.ome.tif",0,49,299362,0.285494,2.03214
"y1_r955_c0.ome.tif",0,46677,7.43519e+08,709.075,2638.26
"y1_r981_c1.ome.tif",0,63654,3.54414e+08,337.995,1957.37
"y8_r1362_c0.ome.tif",0,37613,1.09248e+09,1041.87,3602.87
"y6_r652_c1.ome.tif",0,16,173081,0.165063,0.703907
"y1_r1179_c1.ome.tif",0,19022,6.98403e+08,666.049,1685.29
"y4_r2049_c1.ome.tif",0,3,63437,0.0604982,0.295986
"y9_r2305_c1.ome.tif",0,65483,2.90944e+09,2774.66,7610.92
"y4_r1843_c0.ome.tif",0,7963,1.17604e+08,112.156,361.341
"y8_r1550_c1.ome.tif",0,18380,1.02719e+09,979.601,1976.08
"y2_r1592_c1.ome.tif",0,73,3.12381e+06,2.9791,6.44024
"y6_r571_c1.ome.tif",0,16,135626,0.129343,0.566847
"y8_r1281_c0.ome.tif",0,33097,1.2462e+09,1188.47,3344.86
"y4_r1950_c1.ome.tif",0,3,48045,0.0458193,0.237844
"y2_r1647_c0.ome.tif",0,8,191062,0.182211,0.623193
"y4_r1762_c0.ome.tif",0,11908,1.23234e+08,117.525,508.628
"y1_r1098_c1.ome.tif",0,22064,4.64699e+08,443.171,1493.23
"y6_r707_c0.ome.tif",0,31,278740,0.265827,1.57403
"y8_r1443_c0.ome.tif",0,46286,1.17748e+09,1122.93,3548.64
"y6_r733_c1.ome.tif",0,10,44387,0.0423307,0.269747
"y4_r1924_c0.ome.tif",0,6666,1.56351e+08,149.108,444.846
"y1_r874_c0.ome.tif",0,43337,3.53002e+08,336.649,1726.88
"y6_r545_c0.ome.tif",0,25,265552,0.25325,1.40284
"y2_r1673_c1.ome.tif",0,26,380998,0.363348,1.15405
"y1_r919_c0.ome.tif",0,14956,2.20509e+08,210.294,721.51
"y1_r1110_c0.ome.tif",0,831,3.73722e+07,35.6409,78.1463
"y4_r1833_c1.ome.tif",0,65528,1.60459e+09,1530.26,5746.34
"y8_r1352_c1.ome.tif",0,29525,2.07432e+09,1978.23,3810.29
"y6_r616_c1.ome.tif",0,23,219344,0.209183,0.880132
"y8_r1326_c0.ome.tif",0,39047,2.98836e+09,2849.93,6142.52
"y1_r945_c1.ome.tif",0,30013,4.79378e+08,457.17,1371.87
"y8_r1514_c1.ome.tif",0,18615,5.41714e+08,516.619,1323.92
"y4_r1807_c0.ome.tif",0,11334,1.74134e+08,166.067,566.343
"y1_r864_c1.ome.tif",0,64672,7.1056e+08,677.643,2713.67
"y4_r1914_c1.ome.tif",0,3,28414,0.0270977,0.213638
"y6_r535_c1.ome.tif",0,21,266106,0.253778,0.977764
"y8_r1433_c1.ome.tif",0,20259,9.10561e+08,868.379,1912.83
"y4_r1726_c0.ome.tif",0,12814,1.41021e+08,134.488,508.688
"y4_r1752_c1.ome.tif",0,29770,1.6427e+08,156.66,442.209
"y5_r393_c0.ome.tif",0,58,1.06608e+06,1.0167,3.01385
"y2_r1637_c1.ome.tif",0,49,3.57435e+06,3.40876,6.60988
"y0_r199_c1.ome.tif",0,21,770712,0.735008,2.24089
"y8_r1271_c1.ome.tif",0,24442,1.14811e+09,1094.93,2271.32
"y8_r1407_c0.ome.tif",0,42096,1.66202e+09,1585.03,4601.14
"y6_r509_c0.ome.tif",0,34,338804,0.323109,1.92135
"y1_r838_c0.ome.tif",0,46760,6.22426e+08,593.592,2274.66
"y9_r2315_c0.ome.tif",0,64918,2.061e+09,1965.52,5824.64
"y8_r1560_c0.ome.tif",0,34563,1.31157e+09,1250.81,3489.81
"y4_r2059_c0.ome.tif",0,6275,1.02715e+08,97.9563,379.507
"y1_r1189_c0.ome.tif",0,1676,4.6563e+07,44.4059,111.246
"y1_r991_c0.ome.tif",0,17264,1.85317e+08,176.732,753.482
"y9_r2503_c1.ome.tif",0,65528,1.72035e+09,1640.65,4468.82
"y4_r2247_c1.ome.tif",0,65535,1.38286e+09,1318.8,5064.58
"y6_r662_c0.ome.tif",0,57,736302,0.702192,3.24794
"y0_r120_c1.ome.tif",0,38,268800,0.256348,1.68717
"y9_r2341_c1.ome.tif",0,45843,1.06972e+09,1020.16,2892.39
"y4_r2085_c1.ome.tif",0,65512,1.11561e+09,1063.93,5023.07
"y5_r428_c1.ome.tif",0,15,64576,0.0615845,0.393635
"y6_r743_c0.ome.tif",0,34,283545,0.27041,1.64278
"y0_r12_c1.ome.tif",0,21,1.00369e+06,0.957193,3.01053
"y0_r201_c1.ome.tif",0,21,482011,0.459682,1.94602
"y6_r581_c0.ome.tif",0,29,184413,0.17587,1.15062
"y4_r2166_c1.ome.tif",0,3,27798,0.0265102,0.203582
"y9_r2422_c1.ome.tif",0,34329,5.82545e+08,555.558,2057.63
"y4_r1960_c0.ome.tif",0,9595,1.60757e+08,153.31,522.72
"y4_r2248_c0.ome.tif",0,12923,7.15244e+07,68.2109,415.024
"y9_r2504_c0.ome.tif",0,65535,2.74314e+09,2616.07,7383.78
"y4_r1707_c1.ome.tif",0,65519,9.77759e+08,932.463,3889.2
"y4_r2086_c0.ome.tif",0,6794,1.37412e+08,131.046,404.87
"y9_r2342_c0.ome.tif",0,62646,3.07507e+09,2932.61,7579.3
"y4_r2274_c1.ome.tif",0,65522,9.47726e+08,903.822,4366.83
"y9_r2530_c1.ome.tif",0,52837,1.05958e+09,1010.5,3485.65
"y1_r1010_c1.ome.tif",0,28199,3.95217e+07,37.6908,369.849
"y0_r121_c0.ome.tif",0,25,806500,0.769138,2.30724
"y1_r819_c1.ome.tif",0,65361,7.67878e+08,732.306,2779.99
"y4_r2193_c1.ome.tif",0,3,108395,0.103374,0.420264
"y0_r13_c0.ome.tif",0,34,1.24004e+06,1.18259,2.84885
"y8_r1307_c1.ome.tif",0,20186,4.85995e+08,463.481,1238.94
"y5_r429_c0.ome.tif",0,103,1.17322e+06,1.11887,3.56495
"y9_r2423_c0.ome.tif",0,65535,3.56184e+09,3396.84,8544.67
"y4_r2167_c0.ome.tif",0,6611,9.27966e+07,88.4977,357.068
"y5_r455_c1.ome.tif",0,7,74704,0.0712433,0.329974
"y6_r770_c0.ome.tif",0,43,383861,0.366078,1.70646
"y0_r202_c0.ome.tif",0,54,880508,0.839718,2.72283
"y6_r536_c0.ome.tif",0,51,397516,0.379101,2.37912
"y4_r1915_c0.ome.tif",0,9783,1.62397e+08,154.874,489.826
"y1_r865_c0.ome.tif",0,26330,2.75758e+08,262.983,840.776
"y8_r1434_c0.ome.tif",0,31486,2.2183e+09,2115.53,4508.62
"y6_r724_c1.ome.tif",0,16,127217,0.121324,0.584197
"y2_r1664_c1.ome.tif",0,19,331979,0.3166,0.975352
"y6_r562_c1.ome.tif",0,17,108676,0.103642,0.664049
"y8_r1272_c0.ome.tif",0,26213,2.25511e+09,2150.64,4463.92
"y4_r1941_c1.ome.tif",0,3,29627,0.0282545,0.197106
"y1_r891_c1.ome.tif",0,2195,1.63266e+06,1.55703,16.1948
"y8_r1460_c1.ome.tif",0,25923,6.97152e+08,664.856,1927.85
"y2_r1638_c0.ome.tif",0,16,1.4333e+06,1.36691,2.67334
"y4_r1753_c0.ome.tif",0,11901,5.87559e+07,56.034,350.88
"y1_r1089_c1.ome.tif",0,18403,3.40999e+08,325.202,994.292
"y1_r946_c0.ome.tif",0,16356,2.86671e+08,273.39,817.471
"y6_r617_c0.ome.tif",0,27,441354,0.420908,1.70493
"y8_r1515_c0.ome.tif",0,42098,2.07415e+09,1978.07,4297.36
"y4_r1860_c1.ome.tif",0,65474,1.20837e+09,1152.39,4350.04
"y6_r481_c1.ome.tif",0,19,171796,0.163837,0.738438
"y1_r972_c1.ome.tif",0,5369,1.94133e+07,18.514,123.659
"y8_r1353_c0.ome.tif",0,44156,8.82747e+08,841.853,3003.46
"y6_r643_c1.ome.tif",0,17,212278,0.202444,0.786134
"y4_r1834_c0.ome.tif",0,10139,6.36456e+07,60.6972,305.08
"y8_r1541_c1.ome.tif",0,20706,1.38739e+09,1323.12,2605.73
"y8_r1262_c1.ome.tif",0,34524,1.84905e+09,1763.39,3575.74
"y9_r2540_c0.ome.tif",0,65535,2.79717e+09,2667.59,7267.35
"y4_r1743_c1.ome.tif",0,3,58315,0.0556135,0.281375
"y2_r1628_c1.ome.tif",0,48,2.8422e+06,2.71053,5.62285
"y5_r384_c0.ome.tif",0,60,928478,0.885466,3.0338
"y1_r829_c0.ome.tif",0,16806,6.27065e+08,598.016,1586.74
"y1_r1020_c0.ome.tif",0,22699,2.95174e+08,281.499,817.867
"y4_r1717_c0.ome.tif",0,8505,7.54982e+07,72.0007,294.647
"y8_r1424_c1.ome.tif",0,35150,1.21613e+09,1159.79,2629.91
"y1_r855_c1.ome.tif",0,63335,7.00561e+07,66.8107,661.643
"y4_r1905_c1.ome.tif",0,3,54829,0.052289,0.277708
"y6_r526_c1.ome.tif",0,19,240676,0.229527,0.880329
"y8_r1343_c1.ome.tif",0,30241,1.49107e+09,1421.99,3001.25
"y5_r465_c0.ome.tif",0,100,1.48404e+06,1.41529,4.90411
"y4_r1824_c1.ome.tif",0,65528,9.89864e+08,944.008,4662.48
"y1_r1101_c0.ome.tif",0,3603,6.27024e+07,59.7977,163.846
"y8_r1505_c1.ome.tif",0,27291,1.67337e+09,1595.85,3176.19
"y6_r607_c1.ome.tif",0,20,165041,0.157395,0.735404
"y8_r1317_c0.ome.tif",0,39885,1.48101e+09,1412.41,4589.17
"y1_r936_c1.ome.tif",0,16855,5.46605e+07,52.1283,368.574
"y1_r1099_c0.ome.tif",0,812,4.55597e+07,43.4491,93.9602
"y6_r760_c1.ome.tif",0,36,271685,0.259099,1.02877
"y8_r1470_c0.ome.tif",0,33909,2.56819e+09,2449.22,5348.87
"y4_r2157_c1.ome.tif",0,65527,1.39389e+09,1329.32,4988.21
"y6_r572_c0.ome.tif",0,28,54354,0.051836,0.65949
"y9_r2413_c1.ome.tif",0,57498,8.15109e+08,777.349,2556.37
"y4_r1951_c0.ome.tif",0,10134,6.94854e+07,66.2664,317.745
"y2_r1674_c0.ome.tif",0,77,4.1012e+06,3.91121,9.78734
"y5_r419_c1.ome.tif",0,25,334751,0.319243,1.23546
"y6_r734_c0.ome.tif",0,48,446291,0.425616,2.15074
"y2_r1593_c0.ome.tif",0,29,1.4368e+06,1.37024,3.25852
"y9_r2306_c0.ome.tif",0,65535,1.35259e+09,1289.93,5317.1
"y8_r1551_c0.ome.tif",0,28728,2.23673e+09,2133.11,4477.51
"y1_r982_c0.ome.tif",0,17728,2.14794e+08,204.844,670.349
"y6_r653_c0.ome.tif",0,32,200983,0.191672,1.34076
"y4_r2238_c1.ome.tif",0,65522,1.55305e+09,1481.1,5651.22
"y4_r1870_c0.ome.tif",0,10470,1.80377e+08,172.021,594.618
"y9_r2332_c1.ome.tif",0,65501,1.25688e+09,1198.66,4328.18
"y4_r2076_c1.ome.tif",0,46021,1.61259e+08,153.788,637.221
"y6_r491_c0.ome.tif",0,43,683517,0.651853,2.55375
"y0_r111_c1.ome.tif",0,27,2.2104e+06,2.108,4.85605
"y0_r4_c0.ome.tif",0,32,814291,0.776568,2.21286
"y9_r2360_c0.ome.tif",0,65535,2.61134e+09,2490.37,7051.07
"y5_r392_c1.ome.tif",0,11,51409,0.0490274,0.304074
"y6_r508_c1.ome.tif",0,22,217794,0.207705,0.905405
"y1_r837_c1.ome.tif",0,63968,6.52624e+07,62.2391,811.346
"y8_r1406_c1.ome.tif",0,25124,1.37292e+09,1309.32,2662.72
"y4_r1725_c1.ome.tif",0,3,38411,0.0366316,0.232418
"y9_r2522_c0.ome.tif",0,65535,3.1494e+09,3003.5,8058.79
"y4_r2266_c0.ome.tif",0,11813,2.08404e+08,198.75,640.648
"y1_r1002_c0.ome.tif",0,14475,6.96083e+08,663.837,1570.41
"y0_r301_c0.ome.tif",0,62,315599,0.300979,1.92438
"y4_r2185_c0.ome.tif",0,10305,8.82199e+07,84.1331,304.712
"y9_r2441_c0.ome.tif",0,65535,3.18911e+09,3041.37,7966.47
"y1_r918_c1.ome.tif",0,38730,1.03191e+08,98.4108,787.636
"y0_r220_c0.ome.tif",0,29,893457,0.852067,2.25543
"y4_r1806_c1.ome.tif",0,65505,7.593e+08,724.125,3663.95
"y5_r447_c0.ome.tif",0,75,1.01123e+06,0.964381,3.76655
"y8_r1325_c1.ome.tif",0,26840,1.3792e+09,1315.31,2743.19
"y0_r31_c0.ome.tif",0,58,622251,0.593425,2.30007
"y6_r716_c0.ome.tif",0,39,548330,0.522928,2.335
"y2_r1656_c0.ome.tif",0,34,1.63072e+06,1.55518,3.55175
"y4_r1771_c0.ome.tif",0,10457,1.4331e+08,136.671,562.536
"y8_r1290_c0.ome.tif",0,34808,2.68932e+09,2564.73,5576.98
"y6_r580_c1.ome.tif",0,16,216110,0.206099,0.777486
"y4_r1933_c0.ome.tif",0,9912,2.0252e+08,193.138,597.45
"y1_r883_c0.ome.tif",0,24536,5.61275e+08,535.274,1494.44
"y4_r2139_c1.ome.tif",0,3,82933,0.0790911,0.33401
"y6_r554_c0.ome.tif",0,33,275218,0.262468,1.72235
"y6_r742_c1.ome.tif",0,22,316198,0.30155,1.13971
"y8_r1452_c0.ome.tif",0,34798,2.64783e+09,2525.16,5480.09
"y0_r299_c0.ome.tif",0,49,72220,0.0688744,0.889563
"y6_r473_c0.ome.tif",0,33,263555,0.251346,1.24942
"y1_r1188_c1.ome.tif",0,10357,2.9905e+08,285.196,738.595
"y4_r2058_c1.ome.tif",0,65515,5.59271e+08,533.363,2952.92
"y9_r2314_c1.ome.tif",0,65110,1.70838e+09,1629.24,4215.32
"y4_r1852_c0.ome.tif",0,6422,1.37112e+08,130.76,410.812
"y8_r1371_c0.ome.tif",0,33966,1.73933e+09,1658.75,4198.02
"y6_r661_c1.ome.tif",0,73,293998,0.280378,1.04354
"y1_r990_c1.ome.tif",0,19960,7.66921e+07,73.1393,457.813
"y4_r1690_c0.ome.tif",0,61,605321,0.577279,3.10009
"y6_r635_c0.ome.tif",0,58,1.08576e+06,1.03546,3.54063
"y1_r964_c0.ome.tif",0,23619,2.9008e+08,276.641,1050.51
"y8_r1533_c0.ome.tif",0,47838,3.1196e+09,2975.08,6957.25
"y1_r873_c1.ome.tif",0,36973,2.13576e+08,203.682,889.793
"y4_r1923_c1.ome.tif",0,3,81888,0.0780945,0.364786
"y6_r544_c1.ome.tif",0,18,90201,0.0860224,0.541753
"y8_r1254_c0.ome.tif",0,30545,1.92952e+09,1840.14,4139.95
"y8_r1442_c1.ome.tif",0,17119,1.70094e+08,162.215,610.65
"y4_r1735_c0.ome.tif",0,6298,1.2864e+08,122.681,373.23
"y1_r1200_c0.ome.tif",0,1303,5.90088e+07,56.2752,130.091
"y8_r1416_c0.ome.tif",0,31493,2.51855e+09,2401.88,5192.43
"y6_r706_c1.ome.tif",0,13,124517,0.118749,0.495641
"y6_r518_c0.ome.tif",0,57,237874,0.226854,1.74825
"y1_r847_c0.ome.tif",0,42417,5.64736e+08,538.574,1963.24
"y8_r1280_c1.ome.tif",0,22282,1.35932e+09,1296.35,2576.9
"y2_r1646_c1.ome.tif",0,40,1.60598e+06,1.53158,3.54948
"y4_r1761_c1.ome.tif",0,3,80672,0.0769348,0.347982
"y6_r625_c1.ome.tif",0,21,227900,0.217342,0.883241
"y8_r1335_c0.ome.tif",0,34591,2.99232e+09,2853.7,5927.12
"y1_r954_c1.ome.tif",0,25658,3.326e+07,31.7192,360.508
"y8_r1523_c1.ome.tif",0,43769,2.808e+09,2677.92,5448.47
"y4_r1816_c0.ome.tif",0,11555,1.1353e+08,108.27,489.981
"y4_r1680_c1.ome.tif",0,64,1.33625e+06,1.27434,3.73038
"y1_r928_c0.ome.tif",0,26756,5.56554e+08,530.771,1325.09
"y8_r1361_c1.ome.tif",0,23470,9.5692e+08,912.59,2024.18
"y4_r1842_c1.ome.tif",0,65530,5.11914e+08,488.199,2414.22
"y0_r289_c1.ome.tif",0,10,44593,0.0425272,0.255148
"y0_r21_c1.ome.tif",0,22,1.36075e+06,1.29771,3.37575
"y6_r752_c0.ome.tif",0,42,759615,0.724425,2.92423
"y9_r2405_c0.ome.tif",0,65535,1.95848e+09,1867.75,5950.66
"y4_r2149_c0.ome.tif",0,10785,1.60912e+08,153.457,522.393
"y5_r437_c1.ome.tif",0,25,208117,0.198476,0.882642
"y4_r2175_c1.ome.tif",0,65535,1.52199e+09,1451.49,5640.89
"y6_r590_c0.ome.tif",0,48,214351,0.204421,1.40339
"y9_r2431_c1.ome.tif",0,34627,5.52064e+08,526.489,1875.38
"y0_r210_c1.ome.tif",0,26,941401,0.89779,3.2334
"y9_r2350_c1.ome.tif",0,45263,5.34503e+08,509.742,2012.12
"y4_r2094_c1.ome.tif",0,3,83426,0.0795612,0.348246
"y9_r2512_c1.ome.tif",0,57024,1.20948e+09,1153.45,3607.58
"y6_r671_c0.ome.tif",0,26,232035,0.221286,1.32189
"y4_r2256_c1.ome.tif",0,3,90342,0.0861568,0.382778
"y4_r2068_c0.ome.tif",0,8351,1.53545e+08,146.431,482.489
"y1_r1198_c0.ome.tif",0,1027,4.18328e+07,39.8948,86.1973
"y9_r2324_c0.ome.tif",0,65535,1.84552e+09,1760.02,6143.24
"y0_r103_c0.ome.tif",0,32,711782,0.678808,2.10324
"y8_r1378_c1.ome.tif",0,35949,1.27892e+09,1219.68,2882.19
"y4_r1859_c1.ome.tif",0,3,50535,0.0481939,0.235134
"y0_r84_c0.ome.tif",0,34,2.19588e+06,2.09416,4.68635
"y1_r1136_c0.ome.tif",0,3935,6.55294e+07,62.4937,156.692
"y4_r2006_c0.ome.tif",0,11335,1.31586e+08,125.491,486.564
"y4_r2032_c1.ome.tif",0,65527,1.46143e+09,1393.73,5035.61
"y1_r1162_c1.ome.tif",0,17012,4.21673e+08,402.139,1341
"y0_r273_c0.ome.tif",0,23,655954,0.625566,1.87829
"y4_r1697_c1.ome.tif",0,3,59040,0.0563049,0.304433
"y9_r2494_c0.ome.tif",0,65535,2.80452e+09,2674.59,6882.14
"y0_r192_c0.ome.tif",0,29,863673,0.823663,2.1324
"y1_r1081_c1.ome.tif",0,18542,4.20655e+08,401.168,1025
"y2_r1630_c0.ome.tif",0,28,1.93774e+06,1.84797,3.94252
"y8_r1459_c1.ome.tif",0,27356,4.72768e+08,450.866,1812.96
"y0_r380_c1.ome.tif",0,848,2.00514e+06,1.91225,6.528
"y1_r1217_c0.ome.tif",0,1754,1.01891e+08,97.1705,204.547
"y4_r2113_c1.ome.tif",0,3,52396,0.0499687,0.284389
"y1_r1243_c1.ome.tif",0,18719,4.74242e+08,452.272,1210.12
"y0_r354_c0.ome.tif",0,6153,1.43472e+07,13.6825,45.8738
"y1_r1055_c0.ome.tif",0,18888,6.33343e+08,604.003,1664.66
"y4_r1778_c1.ome.tif",0,3,75358,0.071867,0.331042
"y9_r2575_c0.ome.tif",0,65535,3.11238e+09,2968.2,8237.66
"y8_r1297_c1.ome.tif",0,32418,1.48296e+09,1414.26,2892.62
"y1_r811_c1.ome.tif",0,63202,4.56674e+08,435.518,1808.86
"y0_r308_c1.ome.tif",0,51,444566,0.423971,1.85203
"y1_r1009_c1.ome.tif",0,47288,4.53468e+08,432.46,1424
"y8_r1586_c0.ome.tif",0,44114,1.82415e+09,1739.64,4537.89
"y6_r688_c0.ome.tif",0,26,96192,0.0917358,0.729582
"y9_r2529_c1.ome.tif",0,64876,2.32845e+09,2220.58,5888.38
"y9_r2367_c1.ome.tif",0,65446,5.8447e+08,557.394,2483.34
"y4_r2240_c0.ome.tif",0,7193,1.20718e+08,115.125,361.142
"y0_r146_c1.ome.tif",0,63,767085,0.731549,3.28255
"y0_r38_c1.ome.tif",0,21,492034,0.46924,2.11904
"y9_r2286_c1.ome.tif",0,50014,4.26371e+08,406.619,1577.5
"y6_r769_c0.ome.tif",0,40,222807,0.212485,1.72955
"y6_r795_c1.ome.tif",0,9,17317,0.0165148,0.15523
"y9_r2448_c1.ome.tif",0,54637,1.26227e+09,1203.8,3769.3
